OBJECTID,GLOBAL_ID,IDENT,TYPE_CODE,LEVEL_,WKHR_CODE,WKHR_RMK,MAA_VAL,MAA_UOM,MEA_E_VAL,MEA_E_UOM,MEA_W_VAL,MEA_W_UOM,GMEA_E_VAL,GMEA_E_UOM,GMEA_W_VAL,GMEA_W_UOM,DMEA_VAL,DMEA_UOM,MOCA_VAL,MOCA_UOM,MEAGAP,TRUETRK,MAGTRK,REVTRUETRK,REVMAGTRK,NMAGTRK,NREVMAGTRK,LENGTH_VAL,COPDIST,COPNAV_ID,REPATCSTAR,REPATCEND,DIRECTION,FREQ_CLASS,STATUS,STARTPT_ID,ENDPT_ID,RTPORT_ID,ENRINFO_ID,WIDTHRIGHT,WIDTHLEFT,WIDTH_UOM,MCA1_VAL,MCA1_UOM,MCA1_DIR,MCA2_VAL,MCA2_UOM,MCA2_DIR,MCAPT_ID,MCAPT_TYPE,TFLAG_CODE,REMARKS,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,SHAPE_LENGTH
14939,D7E0AC8A-0E17-4D82-883B-CDC75BFAC26E,AR22,OCEAN,U,,,60000,FT,24000,FT,999999,FT,999999,FT,999999,FT,,FT,999999,FT,0,9.13,18.83,189.23,199.13,,,54.95,,,R,R,BW,A,,7CAC419A-6425-4DC6-8CDE-C2E2CAB46753,DDDCC9DA-1432-4A97-8F19-7B5B3251C3B8,C67682A5-3B34-472F-B24B-8A84A1F84121,7341CAB6-4615-4867-8E8A-39F4D09F453E,4,4,NM,999999,,,999999,,,,,0,,0,0,0,1,0,0,0.92253787473925
14940,D1ADC789-BF0B-4094-8019-DC17FC3680F2,AR22,OCEAN,U,,,60000,FT,24000,FT,999999,FT,999999,FT,999999,FT,,FT,999999,FT,0,16.2,25.61,196.37,206.07,,,56.76,,,R,R,W,A,,91007717-C8CF-4670-91E6-8109601142A7,7CAC419A-6425-4DC6-8CDE-C2E2CAB46753,C67682A5-3B34-472F-B24B-8A84A1F84121,7341CAB6-4615-4867-8E8A-39F4D09F453E,4,4,NM,999999,,,999999,,,,,0,,0,0,0,1,0,0,0.96302001232637
14941,A5700102-7530-4CBA-8874-5D838B853981,AR24,OCEAN,U,,,60000,FT,999999,FT,999999,FT,24000,FT,999999,FT,,FT,999999,FT,0,7.74,16.21,187.96,197.01,,,176.47,,,R,R,,A,,74D70096-A379-4146-8E72-30B5767CCAED,BBA7DE70-B598-4DDD-BC17-E1CE4ADB7A10,A2E2B130-3FF8-4334-9291-EEA8062C95C5,CD21523B-96D4-48E5-9B9D-F2452E052BCE,4,4,NM,999999,,,999999,,,,,3,,0,0,0,1,0,0,2.95666467371514
14942,B33117B1-B310-4386-A876-9FF921895F2B,AR24,OCEAN,U,,,60000,FT,999999,FT,999999,FT,24000,FT,999999,FT,,FT,999999,FT,0,7.77,16.95,187.79,197.04,,,17.51,,,R,R,,A,,65D3DEC7-F4D1-40AD-91BD-A332588114EF,30AC6223-546B-477E-ACA6-6D218DACA745,A2E2B130-3FF8-4334-9291-EEA8062C95C5,CD21523B-96D4-48E5-9B9D-F2452E052BCE,4,4,NM,999999,,,999999,,,,,1,,0,0,0,1,0,0,0.293417478155067
14943,99C50000-98C0-442E-8A56-77669BC9FC78,AR24,OCEAN,U,,,60000,FT,24000,FT,999999,FT,999999,FT,999999,FT,,FT,999999,FT,0,7.71,16.76,187.77,196.95,,,40.49,,,R,R,,A,,BBA7DE70-B598-4DDD-BC17-E1CE4ADB7A10,65D3DEC7-F4D1-40AD-91BD-A332588114EF,A2E2B130-3FF8-4334-9291-EEA8062C95C5,CD21523B-96D4-48E5-9B9D-F2452E052BCE,4,4,NM,999999,,,999999,,,,,3,,0,0,0,1,0,0,0.678484194383676
14944,59CAE5B9-EF42-4ECC-9E37-CB3758E33739,AR24,OCEAN,U,,,60000,FT,999999,FT,999999,FT,24000,FT,999999,FT,,FT,999999,FT,0,7.79,17.04,187.84,197.19,,,31.25,,,R,R,,A,,30AC6223-546B-477E-ACA6-6D218DACA745,DE550796-F0DE-4259-B134-8075BCB89508,A2E2B130-3FF8-4334-9291-EEA8062C95C5,CD21523B-96D4-48E5-9B9D-F2452E052BCE,4,4,NM,999999,,,999999,,,,,0,,0,0,0,1,0,0,0.523664007308516
14945,9AC63CA1-8464-4C5E-BFFD-854230BF5465,AR24,OCEAN,U,,,60000,FT,24000,FT,999999,FT,999999,FT,999999,FT,,FT,999999,FT,0,7.67,15.96,187.74,196.21,,,56.65,,,R,R,,A,,AD9548DD-ABD8-4316-8D85-A0194D783974,74D70096-A379-4146-8E72-30B5767CCAED,A2E2B130-3FF8-4334-9291-EEA8062C95C5,CD21523B-96D4-48E5-9B9D-F2452E052BCE,4,4,NM,999999,,,999999,,,,,2,,0,0,0,1,0,0,0.948958563109152
14946,3E343860-0D86-41A3-A443-CD6217798309,Y291,OCEAN,U,,,60000,FT,999999,FT,999999,FT,18000,FT,999999,FT,,FT,999999,FT,0,10.29,19.92,190.39,200.23,,,50.75,,,R,R,BW,A,,F0ED3958-8DAC-4112-8881-CE54922E5E9E,AE3DC50B-24D7-4606-83B0-6A74C0696052,2F20D99D-71BC-45B1-B3F4-E0FB9C428A86,E0F60F3E-EEDC-48E4-934D-D4A60E9E6714,4,4,NM,999999,,,999999,,,,,0,,0,0,0,1,0,0,0.853356087018083
14947,D9F03EAB-C4F7-4513-A0B6-93AA421FFBEC,Y313,OCEAN,U,As specified in remarks,,60000,FT,999999,FT,999999,FT,18000,FT,999999,FT,,FT,999999,FT,0,15.18,24.24,195.38,204.8,,,74.51,,,R,R,W,A,,1056121B-5E9A-4980-A2DB-86DFFE6C6401,91007717-C8CF-4670-91E6-8109601142A7,A6916F4F-A16B-4981-B048-3F381D0DCA22,9A23EA31-C318-4D97-A9EE-3DCDA97CE202,4,4,NM,999999,,,999999,,,,,0,,0,0,0,1,0,0,1.26067886699421
14948,9D92F4B1-BE21-4ACA-BAB2-133943ACF877,Y313,OCEAN,U,,,60000,FT,999999,FT,999999,FT,18000,FT,999999,FT,,FT,999999,FT,0,9.13,18.83,189.23,199.13,,,54.95,,,R,R,BW,A,,7CAC419A-6425-4DC6-8CDE-C2E2CAB46753,DDDCC9DA-1432-4A97-8F19-7B5B3251C3B8,A6916F4F-A16B-4981-B048-3F381D0DCA22,9A23EA31-C318-4D97-A9EE-3DCDA97CE202,4,4,NM,999999,,,999999,,,,,0,,0,0,0,1,0,0,0.92253787473925
