Unnamed: 0,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
4270380,366766970,2023-09-01 00:17:19,21.30929,-157.87108,0.0,277.4,120.0,KEKOA,IMO7404085,WDK5246,52.0,5.0,36.0,10.0,4.6,52.0,A
6356391,367433780,2023-09-01 00:17:24,21.30627,-157.86496,0.0,260.3,511.0,STAR OF HONOLULU,,WDF2950,60.0,15.0,58.0,13.0,,0.0,A
3450331,367151310,2023-09-01 00:17:30,21.31011,-157.86577,0.0,259.0,511.0,AMERICAN CONTENDER,IMO8842284,WBO8595,31.0,0.0,34.0,8.0,,52.0,A
2740042,338431599,2023-09-01 00:17:37,21.19237,-157.84681,3.1,147.2,511.0,SD-1089 (UNCREWED),,NO COMM,0.0,,0.0,0.0,,,B
2328224,366972620,2023-09-01 00:17:40,21.31206,-157.87633,5.5,305.2,511.0,MIKIOI,IMO8987723,WDH9684,31.0,0.0,23.0,10.0,2.4,52.0,A
4627220,367416420,2023-09-01 00:17:49,21.31284,-157.87755,5.7,303.6,511.0,FREEDOM,IMO8666501,WDE9353,31.0,0.0,26.0,10.0,,52.0,A
1678426,366873510,2023-09-01 00:17:53,21.30982,-157.8656,0.0,297.1,511.0,AMERICAN CHALLENGER,IMO7420479,WDG6869,31.0,0.0,33.0,9.0,4.1,52.0,A
512391,368926457,2023-09-01 00:18:00,21.35487,-157.95104,0.0,178.5,511.0,US WARSHIP 110,,NGBU---,0.0,0.0,0.0,0.0,0.0,0.0,A
6356392,367433780,2023-09-01 00:18:33,21.30627,-157.86494,0.0,274.4,511.0,STAR OF HONOLULU,,WDF2950,60.0,15.0,58.0,13.0,,0.0,A
3450332,367151310,2023-09-01 00:18:40,21.31015,-157.86581,0.0,264.8,511.0,AMERICAN CONTENDER,IMO8842284,WBO8595,31.0,0.0,34.0,8.0,,52.0,A
2328226,366972620,2023-09-01 00:18:50,21.31307,-157.87809,5.3,306.9,511.0,MIKIOI,IMO8987723,WDH9684,31.0,0.0,23.0,10.0,2.4,52.0,A
