mmsi,year,flag_ais,flag_registry,flag_gfw,vessel_class_inferred,vessel_class_inferred_score,vessel_class_registry,vessel_class_gfw,self_reported_fishing_vessel,length_m_inferred,length_m_registry,length_m_gfw,engine_power_kw_inferred,engine_power_kw_registry,engine_power_kw_gfw,tonnage_gt_inferred,tonnage_gt_registry,tonnage_gt_gfw,registries_listed,active_hours,fishing_hours,vessel_class_mapped
441072000,2023,KOR,KOR,KOR,drifting_longlines,1.0,drifting_longlines,drifting_longlines,True,51.468,53.1,53.1,843.366,888.6,888.6,505.615,522.5,522.5,FAO|FFA|IATTC|ICCAT|ICCAT2|IMO|IOTC|ISSF2|KOR|NEPAC|OPRT|OWNER|REV|WCPFC|WCPFC2,8501.7376,5230.448199999998,longliner
44108000,2023,,NLD,NLD,trawlers,0.671,trawlers,trawlers,True,21.857,23.9,23.9,270.362,220.5,220.5,96.935,81.0,81.0,EU|IMO,248.883,80.2406,trawler
441084000,2023,KOR,KOR,KOR,drifting_longlines,0.99,drifting_longlines,drifting_longlines,True,50.19,53.3,53.3,771.783,888.6,888.6,450.167,383.0,383.0,CORR|FAO|FFA|IATTC|IMO|IOTC|ISSF2|KOR|OPRT|OWNER|WCPFC|WCPFC2,8282.6575,4077.5098000000007,longliner
441098000,2023,KOR,KOR,KOR,drifting_longlines,1.0,drifting_longlines,drifting_longlines,True,50.833,56.1,56.1,774.849,888.6,888.6,453.68,411.0,411.0,CORR|FAO|FFA|IATTC|IMO|IOTC|ISSF2|KOR|OPRT|OWNER|REV|WCPFC|WCPFC2,8179.394900000002,3502.321399999998,longliner
441102988,2023,KOR,,KOR,trawlers,0.899,,trawlers,True,21.712,,21.712,319.405,,319.405,111.044,,111.044,,694.0948,636.9495000000001,trawler
441111706,2023,KOR,,KOR,trawlers,1.0,,trawlers,False,26.034,,26.034,507.932,,507.932,210.767,,210.767,,633.5680000000001,564.8247000000001,trawler
441118888,2023,KOR,,KOR,trawlers,1.0,,trawlers,False,20.861,,20.861,268.681,,268.681,94.832,,94.832,,243.1104,49.3472,trawler
441123452,2023,KOR,,KOR,trawlers,0.846,,trawlers,True,24.913,,24.913,352.114,,352.114,162.567,,162.567,,1450.9999999999995,854.8851,trawler
441124622,2023,KOR,,KOR,trawlers,0.803,,trawlers,True,21.544,,21.544,412.754,,412.754,129.174,,129.174,,1401.5920000000003,1166.3689000000004,trawler
441131450,2023,KOR,,KOR,set_gillnets,1.0,,set_gillnets,False,14.243,,14.243,156.849,,156.849,23.301,,23.301,,2510.4706,538.851,longliner
441131573,2023,KOR,,KOR,trawlers,0.873,,trawlers,False,37.483,,37.483,975.863,,975.863,146.705,,146.705,,345.03450000000004,117.6868,trawler
441142000,2023,KOR,KOR,KOR,squid_jigger,0.944,squid_jigger,squid_jigger,True,60.454,64.0,64.0,1503.14,1323.0,1323.0,811.67,728.8,728.8,CORR2|FAO|IMO|NPFC|OWNER|SPRFMO|SPRFMO2,4973.789899999997,785.8017000000001,longliner
